idlicenciatura;licenciatura;titulolicenciatura
1;"Ingeniería Ambiental";"Ingeniero Ambiental"
2;"Ingeniería Civil";"Ingeniero Civil"
3;"Ingeniería en Computación";"Ingeniero en Computación"
4;"Ingeniería Eléctrica";"Ingeniero Electricista"
5;"Ingeniería Electrónica";"Ingeniero en Electrónica"
6;"Ingeniería Física";"Ingeniero Físico"
7;"Ingeniería Industrial";"Ingeniero Industrial"
8;"Ingeniería Mecánica";"Ingeniero Mecánico"
9;"Ingeniería Metalúrgica";"Ingeniero Metalurgista"
10;"Ingeniería Química";"Ingeniero Químico"
11;CYAD;CYAD
