idregistro;profesor_idprofesor;alumno_idalumno;proyecto_idproyecto;rol_idrol
1;1;1;1;1
2;1;2;2;1
3;1;3;3;1
4;1;4;4;1
5;1;5;5;1
6;1;6;6;1
7;1;7;7;1
8;1;8;8;1
9;1;9;9;1
10;1;10;10;1
11;1;11;11;1
12;1;12;12;1
13;1;13;13;1
14;1;14;14;1
15;1;15;15;1
16;1;16;16;1
17;1;17;17;1
18;1;18;18;1
19;1;19;19;1
20;1;20;20;1
21;1;21;21;1
22;1;22;22;1
23;1;23;23;1
24;1;24;24;1
25;1;25;25;1
26;1;26;26;1
27;1;27;27;1
28;1;28;28;1
29;1;29;29;1
30;1;30;30;1
31;1;31;31;1
32;1;32;32;1
33;1;33;33;1
34;1;34;34;1
35;1;35;35;1
36;1;36;36;1
37;1;37;37;1
38;1;38;38;1
39;1;39;39;1
40;1;40;40;1
41;2;41;41;1
42;2;42;42;1
43;2;43;42;1
44;2;44;43;1
45;2;45;44;1
46;2;46;45;1
47;2;47;45;1
48;2;48;46;1
49;2;49;47;1
50;2;50;48;1
51;2;51;48;1
52;2;52;49;1
53;2;53;50;1
54;2;54;51;1
55;2;55;51;1
56;2;56;52;1
57;3;57;53;1
58;3;58;54;1
59;3;59;55;1
60;3;60;56;1
61;3;61;57;1
62;3;62;58;1
63;3;63;59;1
64;3;64;60;1
65;3;65;61;1
66;3;66;62;1
67;3;67;63;1
68;3;68;64;1
69;3;69;65;1
70;3;70;66;1
71;4;71;67;1
72;4;72;68;1
73;4;73;69;1
74;4;74;70;1
75;4;75;71;1
76;4;76;72;1
77;4;76;73;1
78;4;77;74;1
79;4;78;75;1
80;4;79;76;1
81;4;80;77;1
82;4;81;78;1
83;4;82;79;1
84;4;83;80;1
85;4;84;81;1
86;4;85;82;1
87;4;86;83;1
88;4;87;84;1
89;4;88;85;1
90;4;89;86;1
91;4;90;87;1
92;4;91;88;1
93;4;92;89;1
94;4;93;90;1
95;4;94;91;1
96;4;95;92;1
97;4;95;93;1
98;4;96;94;1
99;4;97;95;1
100;4;98;96;1
101;4;99;97;1
102;5;100;98;1
103;5;101;99;1
104;5;102;100;1
105;6;103;101;1
106;6;104;102;1
107;6;105;103;1
108;6;106;104;1
109;6;107;105;1
110;6;108;106;1
111;6;109;107;1
112;6;110;108;1
113;6;111;109;1
114;6;112;110;1
115;6;113;111;1
116;6;114;112;1
117;6;115;113;1
118;6;116;114;1
119;6;117;115;1
120;6;118;116;1
121;6;119;117;1
122;6;120;118;1
123;6;121;119;1
124;6;122;120;1
125;7;71;67;1
126;7;4;4;1
127;7;74;70;1
128;7;9;9;1
129;7;77;74;1
130;7;78;75;1
131;7;79;76;1
132;7;80;77;1
133;7;87;84;1
134;7;89;86;1
135;7;97;95;1
136;7;123;121;1
137;7;124;121;1
138;7;125;122;1
139;7;126;123;1
140;7;127;124;1
141;7;128;125;1
142;7;129;126;1
143;7;130;126;1
144;7;131;127;1
145;7;132;128;1
146;7;133;129;1
147;7;134;130;1
148;7;135;131;1
149;7;136;132;1
150;7;137;133;1
151;7;138;134;1
152;7;139;135;1
153;7;140;136;1
154;8;141;137;1
155;8;142;138;1
156;8;143;139;1
157;8;144;140;1
158;8;145;141;1
159;8;146;142;1
160;8;147;143;1
161;8;148;144;1
162;8;149;145;1
163;8;150;146;1
164;8;151;147;1
165;8;152;148;1
166;8;153;149;1
167;8;154;150;1
168;8;155;151;1
169;8;156;152;1
170;8;157;153;1
171;8;158;154;1
172;8;159;155;1
173;8;160;156;1
174;8;161;157;1
175;8;162;158;1
176;8;163;159;1
177;8;160;94;1
178;8;161;18;1
179;1;141;137;1
180;1;142;138;1
181;1;152;148;1
182;5;160;156;1
183;8;8;8;1
184;8;11;11;1
185;8;14;14;1
186;8;13;13;1
187;8;81;78;1
188;8;17;17;1
189;8;18;18;1
190;8;19;19;1
191;8;22;22;1
192;8;28;28;1
193;8;58;54;1
194;8;101;99;1
195;8;60;56;1
196;8;61;57;1
197;8;32;32;1
198;8;62;58;1
199;8;94;91;1
200;8;63;59;1
201;8;35;35;1
202;8;64;60;1
203;8;65;61;1
204;8;66;62;1
205;8;95;92;1
206;8;68;64;1
207;8;100;98;1
208;8;102;100;1
209;8;122;120;1
210;8;39;39;1
211;8;69;65;1
212;8;40;40;1
213;8;70;66;1
1000;9;1001;1001;1
1001;9;1002;1002;1
1002;9;1003;1003;1
